id,question,answer
943,Which South Korean film about an affair between an attractive thirty-two-year-old woman and a youth just short of legal majority premiered at the 2005 Sundance Film Festival?,Green Chair
944,3TEETH was the debut album for the opening act for the2016 tour with a headlining band that was formed in which California city?,Los Angeles
945,"Which is a choreographer, Yuen Woo-ping or Basil Dean?",Yuen Woo-ping
946,Toby Kebbell starred in a fantasy action film based on a video game series in 2016 notably set in teh world of what?,Azeroth
947,"Which is farther north, Steel Venom or Wicked Twister?",Wicked Twister
948,"What Japanese Auto Manufacturer headquarted in Minato, Tokyo, Japan did Nissan aquire controlling interest in?",Mitsubishi
949,"What village in Nassau County, New York with a name meaning ""a pleasant place"" is represented by Kathleen Rice in the United States House of Representatives?",Mineola
950,What is the country of origin of the film Dui Purush and the music director Pankaj Mullick,Bengali
951,What facility is shared by RAAF Base Williamtown and Newcastle Airport in New South Wales?,runway
952,Black Star is the debut fragrance by a singer-songwriter that has sold approximately how many albums worldwide?,40 million
953,Dionne Bunsha worked most recently for the magazine published by what company?,The Hindu Group
954,"Which dog is used for herding, the Bosnian Coarse-haired Hound or Dutch Shepherd?",Dutch Shepherd
955,John Valliant’s work has appeared in which outdoor-focused magazine whose first issue was published in September 1977?,Outside
956, Ruffin Horne McNeill Jr. an American football coach was named interim head coach after the suspension of a head coach that lead the team to winning seasons in every year of his what?,tenure
957,Who was the son and heir of Henry Beauclerc?,William Adelin
958,Bill Woodfull opened pairing with what cricketer who died in April of 1991?,Bill Ponsford
959,Both José Aponte de la Torre Airport and Boulder City Municipal Airport are classified as what type of airport?,public use airport
960,"Which magazine has been around longer, Guitar World or Golf Digest?",Golf Digest
961,"Which band formed in England, Of Montreal or Vib Gyor?","Vib Gyor was a band that was formed in Leeds, England."
962,"Which author is an economist, Czesław Miłosz or Bhabananda Deka?",Prof Bhabananda Deka
963,Did Yasuzo Masumura and Pitof hail from the same country and professional career?,no
964,This film is an adaption of a Jacques Offenbach's opera that was written by a Hungarian British screenwriter?,The Tales of Hoffmann
965,Are Vintage Life and InStyle both US-based magazines?,no
966,Whose brother was a king of the East-Saxons?,Sæward
967,"Who was a pianist, Maro Ajemian or Richard C. Sarafian?",Maro Ajemian
968,What type of band is the group who released a 2007 compilation CD?,rock
969,What Ruben Fleischer film did No One's Gonna Love You appear in?,Zombieland
970,Are Harry Everett Smith and Vladimir Danilevich both from Russia?,no
971,Are the writing from Maurice Level and Alice Hoffman focused on different audieces?,yes
972,which writer has the highest number of skill  Langston Hughes or  Ian McEwan,Langston Hughes
973,Abraham Lincoln Neiman and his wife Carrie Marcus Neiman cofounded Neiman Marcus with Carrie's brother Herbert in which American city in 1907?,Dallas
974,Which physicist known for his work on parity violation has a son who became an American chemist teaching at Cornell University?,Tsung-Dao Lee
975,"ElvenQuest is a comic fantasy broadcast that stars what English actress who is the wife of Lord Frederick Windsor, and who is formally referred to as what?",Lady Frederick Windsor
976,What other jobs did the actress Olivia Munn from Mortdecai have?,model
977,Mis'ry's Comin' Aroun is by an American librettist that won how many Tony Awards? ,eight Tony Awards
978,"Following The Simple Things a featurette directed by Burny Mattinson was produced, called what?",Mickey's Christmas Carol
979,Kevin House Jr. played professionally for the team that is in what NFL conference?,National Football Conference (NFC) West
980,What Lord of the Rings actor starred alongside Paul Hogan in Flipper?,Elijah Wood
981,"By what type of music was this English composer who collaborated with Ella Mary Leather on ""Twelve Traditional Carols from Herefordshire"" influenced strongly?",Tudor music and English folk-song
982,"Which genus has more species, Quesnelia or Honeysuckle?",Honeysuckle
983,"Which genus of plant is named after a person, Amesiella or Cucurbita?",Amesiella
984,Who is the chairman of the company that operates Suncoast Hotel and Casino?,Bill Boyd
985,How many books are in the text composed by the founder Nyaya school of Hindu philosophy and is used in the development of Indian logic?,five books
986,Follow the Yellow Brick Road Tour is taking place to commemorate the album that was recorded where?,Château d'Hérouville
987,What type of arts that have existed since ancient times did the Stieber Twins specialize in?,Graffiti
988,How many Major League Baseball teams usually attend the meeting where the John H. Johnson President's Award is awarded?,30 Major League Baseball teams
989,"Of what ethnicity is the founder of the Orchestra which debuted on January 1, 1988?",Dutch
990,"In the USA, a tobacconist, also called a tobacco shop or smoke shop, is traditionally represented by which advertisement figure, that is often a three-dimensional wooden sculpture several feet tall?",wooden Indian
991,Edwyn Collins and Ian Gillan both have which profession in common?,singer
992,Who was the secretary to the Winter Queen?,Sir Francis Nethersole
993,Who was the older brother of the leader who asked Juan Romero de Figueroa to remain at his parish?,Joseph I
994,During what war were the Russia-United Kingdom relations in a state of rivalry after the abdication of Emperor Nicholas II? ,the Cold War (1947–91)
995,What is the height of the tallest mountain from which the Glen River flows?,850 m
996,which league is the 121th season of top-tier competitive football in Switzerland which Ulrich Forte coach FC Zürich in the league ,2017–18 Swiss Super League
997,Who was born in August and was a professor?,Fred MacMurray
998,"Domestic Disturbance stars an actor who voiced what character in ""Monsters, Inc.""?",Randall Boggs
999,When was the peer-reviewed open access scientific journal established in which Milivoje Kostic Editor-in-Chief of the Thermodynamics section?,1999
1000,Are Fastbacks and Local Natives both from the same US state?,no
